timestamps,tweet_id,entity,sentiment,message
2025-11-26T00:50:34.194586,12997,Xbox(Xseries),Irrelevant,This is a really disappointing move by Remedy. Bought Control day one with the season pass but will only get the PS5 upgrade if I rebuy everything again repackaged in the Ultimate Edition??
2025-11-26T00:52:50.309413,807,AssassinsCreed,Positive,Just finished Assassins Creed Odyssey through @Shadow_Official @Shadow_NA from the beginning to the end. Thanks for the amazing gaming experience on your service 👏
2025-11-26T00:57:54.805846,11229,TomClancysRainbowSix,Neutral,Solo Q and this freak is spinning as fast as he can to lower the FPS. I thought they took this bs out @Rainbow6Game https://t.co/mlvHMu4qeZ
2025-11-26T01:03:28.526299,2366,CallOfDuty,Positive,"Our eldest has spent so long playing this new Call of Duty game, I’m not convinced he even knows what day it is, let alone how long lockdown has lasted. I’d normally object, but I think I’d rather deal with that, than him being frustrated about being stuck at home."
2025-11-26T01:06:06.376432,9268,Overwatch,Neutral,//The Corruption and Knocking up of Overwatch Babes is a serious Mood atm... pic.twitter.com/QNy4kmgBLV
2025-11-26T01:08:45.798493,2216,CallOfDuty,Neutral,"@PlayCODMobile @M2Games2 i love the call of duty, more unfortunately i'm having a lot of audio bug, every time i'm playing the BR mode of the game, the audio just stops, then i have to close it and open dnv the device i'm using is iOS."
2025-11-26T01:09:06.916731,316,Amazon,Neutral,Amazon stops accepting new online grocery customers as it cuts hours at Whole Foods stores dailymail.co.uk/news/article-8… https://t.co/jn7OMaLq3n
2025-11-26T01:14:56.139332,1985,CallOfDutyBlackopsColdWar,Positive,Not gonna lie that Black Ops cold war trailer was probably the best COD teaser I have ever seen
2025-11-26T01:15:19.540982,11378,TomClancysRainbowSix,Neutral,MELUSI 4k are you shocked! @Justhoneybadger @simmyster06 @walkerpool @Mdassassin007 @OWahid65 #Rainbowsixsiege pic.twitter.com/0ACuQjtvGL
2025-11-26T01:15:46.079391,5207,Hearthstone,Negative,Never popped the ice block #Hearthstone pic.twitter.com/BCsZlhJHPF
2025-11-26T01:17:32.026859,7048,johnson&johnson,Negative,"You mean the same Johnson & Johnson that suppressed reports of asbestos contamination in their talc products for decades??? Wonder how many died??? And Birx says; ""Randomized controlled studies show NO evidence of improved outcome with HCQ."" LIAR??? youtu.be/77TMszubRU4"
2025-11-26T01:18:27.003893,2274,CallOfDuty,Negative,I’m addicted to call of duty mobile😅
2025-11-26T01:23:13.410752,13197,Xbox(Xseries),Neutral,This could go very well...or horribly wrong.
2025-11-26T01:28:47.556415,9488,Overwatch,Positive,"So yesterday, I decided to go back to Overwatch... and I forgot just how much I loved playing it. Now all I want to do is play it and do nothing else >.< I mean, the event is on atm.. gotta get me that Pharah skin as I have Anas already! 💛"
2025-11-26T01:33:03.907446,10275,PlayerUnknownsBattlegrounds(PUBG),Negative,@PUBG_Support Hiya! So when'll u be fixing your f'n console game? Been asking a lot and have been very satisfied with your lack of responses ☺️ Just wondering if lagouts are a part of the game like red zones and I'm just not aware or if you just can't fix a 2 year + problem. Thx!
2025-11-26T23:01:40.637065,6022,FIFA,Negative,More FIFA? Leslie Steiger must be joking! See the horrible thing here ift.tt/2Y1TBtO :///
2025-11-26T23:04:30.027805,6379,FIFA,Positive,Thank you For wanting me to stay home and play some of FIFA @EASPORTSFIFA @EAHelp pic.twitter.com/7Vw03AfLay
2025-11-26T23:04:31.740763,3293,Facebook,Positive,"@BeverlyCitizen Ronald Bellanti is a resident of Beverly, MA and works for Ground Control, an organization he founded as a drunk driving prevention campaign. He took to Facebook to express deplorably racist and violent views. Please help expose him! pic.twitter.com/78RitUkeM2"
2025-11-26T23:09:39.587760,5818,HomeDepot,Positive,"Some milestones and anniversaries here at the Chicopee Home Depot. Congratulations Ed to 29 years with the company and gaining another gold milestone, Tim to 14 years with the company and Mark for gaining another silver milestone. Time does fly by when you're having fun. pic.twitter.com/Dilaa5CUFX"
2025-11-26T23:15:18.545430,1725,CallOfDutyBlackopsColdWar,Positive,I like the killstreaks
2025-11-26T23:19:18.252230,8697,NBA2K,Positive,This card is magnificent. #nba2kmyteam #sfcrabs #pinkdiamond #sprewell #NBA2K #spree #myteam #cards #Grinding #NBA2K20 pic.twitter.com/2IqsF9zQw0
2025-11-26T23:22:52.820302,2277,CallOfDuty,Negative,Is there anything not wrong with this game why cant i claim the credits @PlayCODMobile such a joke.... #CallofDutyMobile #CODm #CoDMobile #CallofDuty https://t.co/0geOGc0Egq
2025-11-26T23:26:23.821633,11277,TomClancysRainbowSix,Irrelevant,Ok I'm blocking this man's he is on a new level of being
2025-11-26T23:26:46.325568,11736,Verizon,Negative,They took my phone number from me. Thanks @verizon I was rey pay the bill yall couldn't jus give me more time tf
2025-11-26T23:26:57.815576,1148,AssassinsCreed,Positive,"Big shout to @icklenellierose for reminding me how great Assassins Creed Black Flag is, and how I never finished it.Stuck at home with a broken car whilst my PS4 and Switch are at my girlfriends, with Doom and ACNH, my PS3 (and Gamecube) are all I have. Gonna finish this! pic.twitter.com/MrQDAjiYVG"
2025-11-26T23:30:52.267318,11403,TomClancysRainbowSix,Positive,I love @Rainbow6Game so much 💙
2025-11-26T23:34:19.440940,3671,Cyberpunk2077,Irrelevant,"Everyone know the story of true life-long friendship, but not everyone knows how big chunk of your life is missing when those ends for some reason. Big THANKS @Marykhln for filling that void with great vibes and conversations."
2025-11-26T23:35:15.628789,8558,NBA2K,Negative,#nba2k is a fucking joke
2025-11-26T23:37:53.349108,7023,johnson&johnson,Neutral,Johnson&Johnson to stop selling baby powder in US. The firm faces thousands of lawsuits that its talc products caused cancer. It said in Oct that its testing had found no asbestos in its Baby Powder after tests conducted by USFDA discovered trace amounts.bbc.co.uk/news/business-…
2025-11-26T23:39:28.446353,10227,PlayerUnknownsBattlegrounds(PUBG),Negative,@RoboDanjal any chance I could get a list of the maps for the new PUBG TDM?  I can't seem to find a good list anywhere.
2025-11-26T23:43:04.968915,2243,CallOfDuty,Irrelevant,"Sound ON! Enjoy the groove and this little montage I made in tribute to the Desert Eagle, the most powerful, badass, secondary weapon. Ever. #CallofDuty #ModernWarfare #Xbox @JoeCecot @ArtPeasant @Drift0r https://t.co/WookTjkBmZ"
2025-11-26T23:47:07.765186,1908,CallOfDutyBlackopsColdWar,Neutral,Seems like #Playstation has the marketing deal for #CallOfDutyBlackOpsColdWar. Feels good to be treated well by Playstation 🙌
2025-11-26T23:48:04.297478,7740,MaddenNFL,Negative,@EAMaddenNFL hi I am am trying to do the golden ticket challenges and it is not working for me and 10 of my friends so will u be post pointing it or??
2025-11-26T23:51:17.851808,11020,TomClancysGhostRecon,Positive,This is how much I enjoy #ghostreconbreakpoint and #division2 I love the lore of both titles. #gaming #gamebooks instagram.com/p/B9feINlnn1U/…
2025-11-26T23:55:06.454654,7082,johnson&johnson,Negative,"In 1982, Johnson & Johnson's Extra Strength Tylenol was recalled because seven people had died after taking it. #haitian #music"
2025-11-26T23:55:13.563826,9608,PlayStation5(PS5),Negative,God when 🥺
2025-11-26T23:59:10.854415,8367,Microsoft,Positive,@satyanadella @Microsoft thanks for celebrating #Diversity. We need positive energy these days.
2025-11-27T00:01:50.039890,861,AssassinsCreed,Positive,That’s the best one wtf?
2025-11-27T00:03:14.998405,171,Amazon,Irrelevant,"AOC you make some very ignorant comments
When you come to Wi, can we meet ."
2025-11-27T00:08:41.372490,9857,PlayStation5(PS5),Positive,oooooh shit i think my motherboard is already compatible
2025-11-27T00:11:49.902167,9361,Overwatch,Irrelevant,NYUMMM DELICIOUS FINALLY SOME GOOD CONTENT NYUMM THE SKINS THE ASHER
2025-11-27T22:58:09.854144,2142,CallOfDuty,Neutral,Call of Duty: Modern Warfare and the problem with its child soldier level - newsychronicles.com/?p=3309&utm_so…
2025-11-27T23:01:47.316737,4438,Google,Neutral,The latest b_gardiner's Random Musings! paper.li/b_gardiner/131… Thanks to @bjoerndarko @FMScreative #google #seo
2025-11-27T23:06:30.494364,8121,Microsoft,Neutral,"“the Free Software movement is dead. Linux doesn’t exist in 2007. Even Linus has got a job today,” Bill Hilf, #microsoft in mainstream media headline (they removed the article later) techrights.org/2007/07/27/bil…"
2025-11-27T23:06:33.175615,4177,CS-GO,Positive,"To all the people who want to play VALORANT and are saying they are gonna pursue it professionally, 

go play 100 hours of CSGO, if you still like the game then I think it would be a good game for you, if you are bored out of your mind I would not recommend pursuing it."
2025-11-27T23:10:29.555828,986,AssassinsCreed,Positive,FUCKKKKKK I CANT WAIT
2025-11-27T23:10:35.731739,12487,WorldOfCraft,Neutral,"this is the current status on the gold making, monthly token purchased if i dont find a stable source of income this will be bad in 3 months mithril and flamebloom were broke  by some sellers #Warcraft! pic.twitter.com/l7XmqXWpZ0"
2025-11-27T23:14:33.436098,7342,LeagueOfLegends,Positive,this is the absolute FUNNIEST interaction I’ve ever seen on League of Legends pic.twitter.com/NsWyuMdVrX
2025-11-27T23:20:02.271789,4132,CS-GO,Neutral,I used a voice changer and pretended to be a girl in a csgo match last night and now my DMs are flooded xD
2025-11-27T23:22:30.711655,5130,GrandTheftAuto(GTA),Negative,Oh shit I got 1 day to finish this fuk
2025-11-27T23:25:03.324162,10334,PlayerUnknownsBattlegrounds(PUBG),Irrelevant,"I can't find confirmation anywhere but it looks like @fenix_app has quit muting keywords. If Talon can strip the imaginary sports from my timeline, I may need to switch.

Blaseball: like fandom + PUBG, but at least the mute filters worked for PUBG"
2025-11-27T23:30:56.039432,5515,Hearthstone,Negative,I miss when Hearthstone was simpler
2025-11-27T23:31:55.348575,11175,TomClancysGhostRecon,Neutral,GM Fam!!! hope you are all up and being great today.... jus wanted to take a second to thank all my followers for the support you guys are truly awesome💪🏾👍🏾🙌🏾... #stateofdecay2 #ghostreconbreakpoint #RedDeadRedemption2 #SmallStreamerCommunity
2025-11-27T23:36:47.026675,5448,Hearthstone,Neutral,"Play with @PtitDrogo and @BlyOnFire starting at 19 CEST TODAY and get a chance to win awesome prizes from our merch store AND a @Pl4ZMAcom Gaming Booster! Sounds like a good deal? 

Then join our discord at: discord.gg/NaKhTps

Tomorrow: Hearthstone with @RYE_Viper https://t.co/jKxixjCo29"
2025-11-27T23:38:06.341373,3286,Facebook,Negative,Leaked memo excoriates #Facebook’s ‘slapdash and haphazard’ response to global political manipulation dlvr.it/RgbzJD https://t.co/M7JAMQeF7e
2025-11-27T23:41:00.582290,3929,Cyberpunk2077,Positive,This looks kinda clean!
2025-11-27T23:46:10.643161,638,ApexLegends,Irrelevant,Wilson 💛
2025-11-27T23:48:10.894826,2057,CallOfDuty,Irrelevant,Flip The Fuck Out!!!! Cyklon30001189  just joined the Kingdom on Mixer mixer.com/deduke #mixerPartner #mixer #streamer #Xbox #CallofDuty
2025-11-27T23:51:42.475151,9456,Overwatch,Negative,"@BlizzardCS so when i try to buy overwatch with a credit or debit, all it does is load and then it says ""something went wrong. Select another payment method or try again later."" Help I have been trying for a hour now"
2025-11-27T23:56:06.706858,11687,Verizon,Negative,@verizon Can you waive some data overage charges? Been tough for folks out here.
2025-11-27T23:56:46.735970,1589,Battlefield,Negative,"No one buy battlefield 3 on steam! It doesn’t have an app, it literally runs through a google search. Do not recommend it, it’s a waste of money #SteamSummerSale #SteamSummerSale2020"
2025-11-27T23:59:40.036158,3526,Facebook,Neutral,"Our #HISAPerth #OBIawards ceremony is taking place this Friday 29 May. Celebrating the Outstanding, Best + Inspiring work staff + students within #PerthCollegeUHI have done this year. Streaming LIVE 12 noon Friday @HISAPerth Facebook page. 🏆
#TeamHISA #Awards #IWouldLikeToThank pic.twitter.com/rE3iY9T66p"
2025-11-28T00:00:14.054105,8174,Microsoft,Positive,#Indigo Urgent Care looks to Microsoft Teams and Microsoft’s Power Platform to help deliver quality care and world-class patient experience lnkd.in/eAzWmuB
2025-11-28T00:02:38.618604,11693,Verizon,Neutral,"🤔 Not sure where all your data is going? Frustrated by your kids using it all immediately? 😠 With the My Verizon app, the power is in your hands! ⚡ Download it now in the App store and via Google Play. 👍"
2025-11-28T00:06:42.726210,11086,TomClancysGhostRecon,Negative,"@GhostRecon @GhostRecon_UK Your PvP server doesn't work... Nobody can connect. And pls delete the scope for drones. They're useless und block syringes...
#Bugpoint #Brokenpoint pic.twitter.com/QkTNee6DVZ"
2025-11-28T00:07:08.790078,3948,Cyberpunk2077,Positive,LETS FUCKING GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
2025-11-28T00:11:20.287088,8822,Nvidia,Positive,Great job guys @Peter_shirley and @withyounotsmwhr
2025-11-28T00:15:35.030791,783,ApexLegends,Neutral,"Watch StrapxAxHolic on Twitch! I think I'm pretty good at #ApexLegends twitch.tv/strapxaxholic?…
#twitch #StreamingLive #APEX #twitchtv"
2025-11-28T00:16:37.648238,465,ApexLegends,Positive,feels good to get a Victory in #ApexLegends with your high school buddies. we are all in our late 20's now.  @VictorpMeraz4  @NOLDRAY #FreaksAndGeeks deserved a second season!!!
2025-11-28T00:22:12.561168,1714,CallOfDutyBlackopsColdWar,Neutral,I know I trash BO1 multiplayer any chance I get but in all honesty I wouldn’t mind a Black Ops remaster. Nothing could ever be as worse as MW2019. Get to work on it...
2025-11-28T00:23:05.904597,9850,PlayStation5(PS5),Positive,"Interesting... (for real, this is really awesome looking!)"
2025-11-28T00:28:47.445401,10078,PlayerUnknownsBattlegrounds(PUBG),Negative,Even tae playing pubg I won’t ever installing it hahahaha I dislike that game so much
2025-11-28T00:34:28.989510,10585,RedDeadRedemption(RDR),Neutral,"RED DEAD REDEMPTION 2 
#RDOnline #RDR2
#DailyChallengers
by simba pic.twitter.com/OeBblXui9L"
2025-11-28T00:36:34.998206,10011,PlayerUnknownsBattlegrounds(PUBG),Neutral,"one of the best kpop moments was at Isac 2020 when all those kpop groups came together and just played a massive fuck off game of PUBG,, tell me that wasn’t iconic"
2025-11-28T00:40:46.106172,5265,Hearthstone,Neutral,Joe Buck is excited when  Hearthstone
2025-11-28T00:41:34.853021,3206,Facebook,Negative,Why would you fuck your way to the bottom exactly?
2025-11-28T00:44:21.545408,3488,Facebook,Neutral,"Congratulations to all nominees, including our leader Amy Hall, for their Award of Excellence nomination! 

The 37th Annual #AWMDFWGALA is going virtual on Facebook and YouTube Live this October 8th from 6-7PM to celebrate the fantastic work of our media community. pic.twitter.com/5WgCeXRPAy"
2025-11-28T00:48:46.828952,11685,Verizon,Negative,"Hey @verizonfios @verizon @VerizonSupport Why is my internet speed 360Mbps down\327Mbps up when I pay for 1Gig symmetric services?
#verizonfios #fiosfail #speedtest #fiosfam

Test is performed over a wired connection with CAT8 SFTP 40GB cables.
speedtest.net/result/c/7cf7b…"
2025-11-28T00:54:04.417738,5122,GrandTheftAuto(GTA),Neutral,People who killed Michael or Trevor at the end of gta probably doing hooligan shenanigans right about now
2025-11-28T00:59:34.835438,9149,Nvidia,Neutral,The Nvidia Shield is my daily driver but I like to recommend the Roku platform as it has nearly universal app compatibility.
2025-11-28T01:03:59.684292,96,Amazon,Positive,"Seeing Amazon Prime marketing Borat by getting him in TikToks, vlogs, YouTube videos is amazing.

World's changing, if you still doubt the power of an online audience, it's time to quit."
2025-11-28T01:06:33.025790,11577,TomClancysRainbowSix,Positive,Happy to be back doing what I love :))
2025-11-28T01:07:04.787591,3083,Dota2,Neutral,I am dota 2 dota 2 i like happy  -  Casey
2025-11-28T01:13:01.211598,2981,Dota2,Negative,"What the fuck is wrong with u guys?
@DOTA2"
2025-11-28T01:17:59.634924,4574,Google,Negative,Well that's not helping to reassure me my data is safe with @google
2025-11-28T01:18:40.139485,3993,Cyberpunk2077,Positive,"You know how you buy consoles for specific games, I dead ass bought this card so that I can get the absolute best experience from @CyberpunkGame I want to absolutely immerse myself in this game. @NVIDIAGeForce ray tracing, all of that, I want it all. pic.twitter.com/neA45IHUvo"
2025-11-28T01:19:10.702330,1967,CallOfDutyBlackopsColdWar,Negative,"The recent Warzone and Modern Warfare patch has leaked tons of Black Ops: Cold War details including singleplayer campaign description, editions, and potential release date.  

#CallofDuty #BlackOpsColdWar #ModernWarfare #Warzone bit.ly/3j6HYci"
2025-11-28T01:20:45.903832,2713,Borderlands,Neutral,"Stream on Borderlands 3 tonight at 8pm! 
Come and say hi, it's always a pleasure to see on on the stream guys ☺️"
2025-11-28T01:24:49.825717,8438,NBA2K,Negative,"Sorta amusing how #nba2k has such self-centered community managers that have built up such limited goodwill, that when they released a demo identical to 2k20, everyone was vocal about it being trash #NBA2K21 
 https://t.co/Nw1LMRJGN6"
2025-11-28T01:27:53.207387,10729,RedDeadRedemption(RDR),Positive,"I'm getting a lot out of Red Dead Redemption 2 right now, the game enables me to do a lot of dumb things and generally be an idiot.

feelsgoodman"
2025-11-28T01:28:58.827134,8984,Nvidia,Neutral,"Early adopters get arsed once again.
As I've promised the low price tags will come with at a price.
Gigabyte confirms #RTX3070 16GB and #RTX3080 20GB for October 2020
Question who needs 16 or 20GB VRAM? If you want to use it some years at 4k makes sense
@WSV_GUY
#NVIDIA #rtx3000"
2025-11-28T01:29:28.337722,1990,CallOfDutyBlackopsColdWar,Negative,Oh dear god my computer is gonna get fried from all this
2025-11-28T01:30:06.143873,7205,LeagueOfLegends,Neutral,@IISirPootnickII  computer having some issues may die at any point. Going to chance a steam anyway. Cant sign into steam so be playing some @LeagueOfLegends  while we keep trying to get on. twitch.tv/iisirpootnickii #LootGoblinGaming #LeagueOfLegends
2025-11-28T01:30:11.851537,7564,LeagueOfLegends,Irrelevant,the constant mouse clicking is what always got me
2025-11-28T01:31:42.678549,1701,CallOfDutyBlackopsColdWar,Positive,HOLYYYYY. Definitely streaming it this weekend👀be on the look out
2025-11-28T01:32:21.955686,10185,PlayerUnknownsBattlegrounds(PUBG),Neutral,PTS would not stop crashing on me tonight. An issue I have never had with @PUBG_US @PUBG @PUBG_Devs going to give it another shot in the AM. Y’all have a good night! 6am central as always 🙏❤️ https://t.co/6MgOA07Izs
2025-11-28T01:36:46.805237,9619,PlayStation5(PS5),Positive,"This #PlayStation5 pre order is an absolute....

Hopefully Xbox goes smoother next week and I'll get two 😒"
2025-11-28T01:41:54.399748,7458,LeagueOfLegends,Positive,Nothing like getting two leavers in the game that would have promoted you. I love league of legends👍👍👍👍👍🤡
2025-11-28T01:44:52.772768,6056,FIFA,Irrelevant,"The Nigeria national team has been ranked as the 29th best team in the World and 3rd in Africa in the latest FIFA World rankings. 🇳🇬🦅

It's the first time the team has made the top 30 since May 2013. @ Kano, Nigeria instagram.com/p/CFPZvTOn8Ab/…"
2025-11-28T01:48:12.083656,7433,LeagueOfLegends,Neutral,So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @ShopAngryKitty #poshmark #fashion #style #shopmycloset #pier1 #leagueoflegends: posh.mk/7ZpkTUiSf9 https://t.co/pPGBdxFVm6
2025-11-28T01:48:42.157841,4236,CS-GO,Neutral,"Finnish CS:GO Player Jamppi Sues Valve Over Alleged VAC Ban » TalkEsport,bit.ly/3byCjrT"
2025-11-28T01:49:57.137331,13044,Xbox(Xseries),Irrelevant,"You can catch up with all of ""The Xbox Has No Games Podcast"" right here:

intromediagaming.com/home/the-xbox-…

One of the best Xbox Podcast out here

#Xbox #XboxSeriesX #XboxSeriesS https://t.co/CmlRJsgZyk"
2025-11-28T01:53:48.856205,1989,CallOfDutyBlackopsColdWar,Irrelevant,"“git gud 5head” -sniping community, probably"
2025-11-28T01:58:43.533965,6408,Fortnite,Irrelevant,"See I can get behind it when you explain ya self, controller is only broken when you have it with a PC that makes complete sense. Thank you ninja for actually explaining it and not being a fucking retard like everybody else"
2025-11-28T02:01:39.404620,2808,Dota2,Neutral,"The OGA Dota PIT Season 3: Europe/CIS looks like it is going to be one heck of a tournament with some of the best teams in Europe competing in it.

#Esports #Dota2

afkgaming.com/articles/dota2…"
2025-11-28T02:07:09.112583,5473,Hearthstone,Neutral,YOUR PATHETIC Freeze Cannot Stop MY MINIONS | Hearthstone Daily Moments Ep.1465 gameforce.jp/hearthstone%e3… https://t.co/H0Q9zjH8GF
2025-11-28T02:12:47.639749,10021,PlayerUnknownsBattlegrounds(PUBG),Irrelevant,"Team Shy Military are your Runners-up in PUBG PC at the Showdown tournament organized by Gamer.LK. we wish them the very best in the upcoming tournaments. 💚💚

#TM #Brotherhood #GreenArmy #TeamSpeak #1xBET #TMPUBG https://t.co/TR2AM06C2X"
2025-11-28T23:02:31.160237,2218,CallOfDuty,Irrelevant,I'm not even a part of @CallofDuty community but this shit at @NoahJ456 stream is soooo interesting.
2025-11-28T23:02:33.659284,3729,Cyberpunk2077,Irrelevant,"twitter.com/pcgamer/status…
100 hour workweeks are pretty bad"
2025-11-28T23:03:58.554922,10906,TomClancysGhostRecon,Positive,the chopper shot is stunning 🔥
2025-11-28T23:05:10.563702,8042,Microsoft,Neutral,"I used to think Ellison was an ok guy, this just PROVES that Trump is into making ALL his friends money, and screwing with people.  I'm sorry Microsoft :( ...stupid POS POTUS!!!"
2025-11-28T23:10:44.353059,2532,Borderlands,Positive,"Completed #Fustercluck this weekend, rounding off year one of #Borderlands3. I decided to go back in response and play the original Borderlands again as I had the 4K GOTY version on my PC already. The shooting feels awful. I'm going to try some suggested ini changes tomorrow."
2025-11-28T23:14:10.645965,10262,PlayerUnknownsBattlegrounds(PUBG),Irrelevant,xboxaimbot.com is the greatest site  to get free modz  #fortnite #pubg #aimbot #cheats #apex #xbox #playstation #gamer #xboxone #vbucks #switch #warzone #pubgmobile
